BCC_Name,B2_Name,Misfit,a_BCC,a_B2,B2_Formation_Energy,B2_VEC,B2_delta_r,B2_chi_avg,B2_delta_chi,B2_Hmix,BCC_Name,BCC_Mo,BCC_Ta,BCC_V,BCC_Nb,B2_Name,B2_Ru,B2_Hf,B2_Ti,B2_Zr,B2_Al,B2_Mo,B2_Nb,B2_Ta,B2_W,B2_V,B2_Cr,B2_Cu,B2_Si
Mo25-Ta75,B2_014_RuHf,-0.237620503,3.26436851,2.571059804,-1.190557465,6,0.082191781,1.75,0.45,-15,Mo25-Ta75,0.25,0.75,0,0,B2_014_RuHf,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0
Mo25-Ta75,B2_015_RuTi,-0.289125994,3.26436851,2.43976227,-1.048598035,6,0.046263345,1.87,0.33,-10,Mo25-Ta75,0.25,0.75,0,0,B2_015_RuTi,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0
Mo25-Ta75,B2_016_RuZr,-0.228584139,3.26436851,2.59472104,-0.959079125,6,0.088435374,1.765,0.435,-18,Mo25-Ta75,0.25,0.75,0,0,B2_016_RuZr,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0
Mo25-Ta75,B2_017_RuAl,-0.309893958,3.26436851,2.388477153,-1.00191235,5.5,0.032490975,1.905,0.295,-20,Mo25-Ta75,0.25,0.75,0,0,B2_017_RuAl,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0
Mo25-Ta75,MATRIX_BIN_018_Nb12_Mo87,-0.258757832,3.26436851,2.516452193,-0.074598622,5.875,0.016266667,2.0928,0.18197846,-0.8448,Mo25-Ta75,0.25,0.75,0,0,MATRIX_BIN_018_Nb12_Mo87,0,0,0,0,0,0.875,0.125,0,0,0,0,0,0
Mo25-Ta75,MATRIX_BIN_019_Nb25_Mo75,-0.023524894,3.26436851,3.18846737,-0.093096702,5.75,0.021535268,2.02,0.242487113,-1.5,Mo25-Ta75,0.25,0.75,0,0,MATRIX_BIN_019_Nb25_Mo75,0,0,0,0,0,0.75,0.25,0,0,0,0,0,0
Mo25-Ta75,MATRIX_BIN_020_Nb50_Mo50,0.219288579,3.26436851,4.068360358,-0.068167471,5.5,0.024561404,1.88,0.28,-2,Mo25-Ta75,0.25,0.75,0,0,MATRIX_BIN_020_Nb50_Mo50,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0
Mo25-Ta75,MATRIX_BIN_021_Nb75_Mo25,0.003645633,3.26436851,3.276290931,-0.003897255,5.25,0.021012748,1.74,0.242487113,-1.5,Mo25-Ta75,0.25,0.75,0,0,MATRIX_BIN_021_Nb75_Mo25,0,0,0,0,0,0.25,0.75,0,0,0,0,0,0
Mo25-Ta75,MATRIX_BIN_022_Nb87_Mo12,-0.219443927,3.26436851,2.618850201,0.026755452,5.125,0.015670507,1.6672,0.18197846,-0.8448,Mo25-Ta75,0.25,0.75,0,0,MATRIX_BIN_022_Nb87_Mo12,0,0,0,0,0,0.125,0.875,0,0,0,0,0,0
Mo25-Ta75,MATRIX_BIN_023_Nb12_Ta87,-0.215568977,3.26436851,2.629139739,0.01664066,5,0,1.512,0.032496154,-0.4224,Mo25-Ta75,0.25,0.75,0,0,MATRIX_BIN_023_Nb12_Ta87,0,0,0,0,0,0,0.125,0.875,0,0,0,0,0
Mo25-Ta75,MATRIX_BIN_024_Nb25_Ta75,0.015288192,3.26436851,3.314659229,0.02257152,5,0,1.525,0.04330127,-0.75,Mo25-Ta75,0.25,0.75,0,0,MATRIX_BIN_024_Nb25_Ta75,0,0,0,0,0,0,0.25,0.75,0,0,0,0,0
Mo25-Ta75,MATRIX_BIN_025_Nb50_Ta50,0.246353393,3.26436851,4.181529649,0.032388069,5,0,1.55,0.05,-1,Mo25-Ta75,0.25,0.75,0,0,MATRIX_BIN_025_Nb50_Ta50,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0
Mo25-Ta75,MATRIX_BIN_026_Nb75_Ta25,0.017585365,3.26436851,3.322282844,0.043369138,5,0,1.575,0.04330127,-0.75,Mo25-Ta75,0.25,0.75,0,0,MATRIX_BIN_026_Nb75_Ta25,0,0,0,0,0,0,0.75,0.25,0,0,0,0,0
Mo25-Ta75,MATRIX_BIN_027_Nb87_Ta12,-0.212210464,3.26436851,2.638087089,0.04776952,5,0,1.588,0.032496154,-0.4224,Mo25-Ta75,0.25,0.75,0,0,MATRIX_BIN_027_Nb87_Ta12,0,0,0,0,0,0,0.875,0.125,0,0,0,0,0
Mo25-Ta75,MATRIX_BIN_028_Nb12_W87,-0.253462628,3.26436851,2.53003601,-0.064576028,5.875,0.016266667,2.2688,0.246970768,-0.8448,Mo25-Ta75,0.25,0.75,0,0,MATRIX_BIN_028_Nb12_W87,0,0,0,0,0,0,0.125,0,0.875,0,0,0,0
Mo25-Ta75,MATRIX_BIN_029_Nb25_W75,-0.019260655,3.26436851,3.202094355,-0.067975525,5.75,0.021535268,2.17,0.329089653,-1.5,Mo25-Ta75,0.25,0.75,0,0,MATRIX_BIN_029_Nb25_W75,0,0,0,0,0,0,0.25,0,0.75,0,0,0,0
Mo25-Ta75,MATRIX_BIN_030_Nb50_W50,0.221400585,3.26436851,4.077067638,-0.024208031,5.5,0.024561404,1.98,0.38,-2,Mo25-Ta75,0.25,0.75,0,0,MATRIX_BIN_030_Nb50_W50,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0
Mo25-Ta75,MATRIX_BIN_031_Nb75_W25,0.004212377,3.26436851,3.278148285,0.026336168,5.25,0.021012748,1.79,0.329089653,-1.5,Mo25-Ta75,0.25,0.75,0,0,MATRIX_BIN_031_Nb75_W25,0,0,0,0,0,0,0.75,0,0.25,0,0,0,0
Mo25-Ta75,MATRIX_BIN_032_Nb87_W12,-0.218996611,3.26436851,2.620036168,0.042204846,5.125,0.015670507,1.6912,0.246970768,-0.8448,Mo25-Ta75,0.25,0.75,0,0,MATRIX_BIN_032_Nb87_W12,0,0,0,0,0,0,0.875,0,0.125,0,0,0,0
