BCC_Name,B2_Name,Misfit,a_BCC,a_B2,B2_Formation_Energy,B2_VEC,B2_delta_r,B2_chi_avg,B2_delta_chi,B2_Hmix,BCC_Mo,BCC_Ta,BCC_V,BCC_Nb,B2_Name.1,B2_Ru,B2_Hf,B2_Ti,B2_Zr,B2_Al,B2_Mo,B2_Nb,B2_Ta,B2_W,B2_V,B2_Cr,B2_Cu,B2_Si,BCC_formation_energy_per_atom_from_BCC,BCC_formation_energy_eV_per_atom_calc,DeltaE_B2_minus_BCC_eV_per_atom,lattice_misfit_delta,S_conf_eV_per_K,Ts_star_K_simple,S_conf_eV_per_K_fixed,lattice_misfit_delta_fixed,DeltaE_B2_minus_BCC_eV_per_atom_fixed,Ts_star_K_simple_fixed
Mo25-Ta75,B2_014_RuHf,-0.237620503,3.26436851,2.571059804,-1.190557465,6.0,0.082191781,1.75,0.45,-15.0,0.25,0.75,0.0,0.0,B2_014_RuHf,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.066412535,-0.066412535,,-0.2376205031382724,0.0001179715217289,,5.9730802546012426e-05,-0.2376205031382724,-1.12414493,-18820.187944637735
Mo25-Ta75,B2_015_RuTi,-0.289125994,3.26436851,2.43976227,-1.048598035,6.0,0.046263345,1.87,0.33,-10.0,0.25,0.75,0.0,0.0,B2_015_RuTi,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.066412535,-0.066412535,,-0.2891259937066169,0.0001152775755404,,5.9730802546012426e-05,-0.28912599370661696,-0.9821854999999999,-16443.534292769513
Mo25-Ta75,B2_016_RuZr,-0.228584139,3.26436851,2.59472104,-0.959079125,6.0,0.088435374,1.765,0.435,-18.0,0.25,0.75,0.0,0.0,B2_016_RuZr,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.066412535,-0.066412535,,-0.2285841389811153,0.0001179772998734,,5.9730802546012426e-05,-0.2285841389811153,-0.89266659,-14944.828328940537
Mo25-Ta75,B2_017_RuAl,-0.309893958,3.26436851,2.388477153,-1.00191235,5.5,0.032490975,1.905,0.295,-20.0,0.25,0.75,0.0,0.0,B2_017_RuAl,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.066412535,-0.066412535,,-0.3098939575630157,0.0001177001683306,,5.9730802546012426e-05,-0.30989395756301574,-0.935499815,-15661.932790528916
Mo25-Ta75,MATRIX_BIN_018_Nb12_Mo87,-0.258757832,3.26436851,2.516452193,-0.074598622,5.875,0.016266667,2.0928,0.18197846,-0.8448,0.25,0.75,0.0,0.0,MATRIX_BIN_018_Nb12_Mo87,0.0,0.0,0.0,0.0,0.0,0.875,0.125,0.0,0.0,0.0,0.0,0.0,0.0,-0.066412535,-0.066412535,,-0.2587578322959795,0.0001098681839359,,3.246754042778828e-05,-0.2587578322959795,-0.008186087000000009,-252.13141778345826
Mo25-Ta75,MATRIX_BIN_019_Nb25_Mo75,-0.023524894,3.26436851,3.18846737,-0.093096702,5.75,0.021535268,2.02,0.242487113,-1.5,0.25,0.75,0.0,0.0,MATRIX_BIN_019_Nb25_Mo75,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,-0.066412535,-0.066412535,,-0.0235248939881607,0.0001136374255368,,4.8458293461967755e-05,-0.023524893988160763,-0.02668416700000001,-550.6625407876351
Mo25-Ta75,MATRIX_BIN_020_Nb50_Mo50,0.219288579,3.26436851,4.068360358,-0.068167471,5.5,0.024561404,1.88,0.28,-2.0,0.25,0.75,0.0,0.0,MATRIX_BIN_020_Nb50_Mo50,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.066412535,-0.066412535,,0.2192885793196627,0.0001170330166068,,5.9730802546012426e-05,0.21928857931966275,-0.0017549359999999986,-29.380753735028403
Mo25-Ta75,MATRIX_BIN_021_Nb75_Mo25,0.003645633,3.26436851,3.276290931,-0.003897255,5.25,0.021012748,1.74,0.242487113,-1.5,0.25,0.75,0.0,0.0,MATRIX_BIN_021_Nb75_Mo25,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,-0.066412535,-0.066412535,,0.0036456327095291,0.0001163318313596,,4.8458293461967755e-05,0.0036456327095291,0.06251527999999999,1290.084225707717
Mo25-Ta75,MATRIX_BIN_022_Nb87_Mo12,-0.219443927,3.26436851,2.618850201,0.026755452,5.125,0.015670507,1.6672,0.18197846,-0.8448,0.25,0.75,0.0,0.0,MATRIX_BIN_022_Nb87_Mo12,0.0,0.0,0.0,0.0,0.0,0.125,0.875,0.0,0.0,0.0,0.0,0.0,0.0,-0.066412535,-0.066412535,,-0.2194439271118915,0.0001135959719789,,3.246754042778828e-05,-0.21944392711189156,0.093167987,2869.5732960498444
Mo25-Ta75,MATRIX_BIN_023_Nb12_Ta87,-0.215568977,3.26436851,2.629139739,0.01664066,5.0,0.0,1.512,0.032496154,-0.4224,0.25,0.75,0.0,0.0,MATRIX_BIN_023_Nb12_Ta87,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.875,0.0,0.0,0.0,0.0,0.0,-0.066412535,-0.066412535,,-0.2155689766304423,0.0001081667391973,,3.246754042778828e-05,-0.2155689766304423,0.083053195,2558.0377788308388
