BCC_Name,B2_Name,Misfit,a_BCC,a_B2,B2_Formation_Energy,B2_VEC,B2_delta_r,B2_chi_avg,B2_delta_chi,B2_Hmix,BCC_Mo,BCC_Ta,BCC_V,BCC_Nb,B2_Name.1,B2_Ru,B2_Hf,B2_Ti,B2_Zr,B2_Al,B2_Mo,B2_Nb,B2_Ta,B2_W,B2_V,B2_Cr,B2_Cu,B2_Si,BCC_formation_energy_per_atom_from_BCC,BCC_formation_energy_eV_per_atom_calc,DeltaE_B2_minus_BCC_eV_per_atom,lattice_misfit_delta,S_conf_eV_per_K,Ts_star_K_simple,S_conf_eV_per_K_fixed,lattice_misfit_delta_fixed,DeltaE_B2_minus_BCC_eV_per_atom_fixed,Ts_star_K_simple_fixed,DeltaS_Exact_eV_K,DeltaH_eV,Term_Thermo_Ratio,T_Base_K,Misfit_Abs,Ts_Target_K,Ts_Target_C,Misfit_Sq,Misfit_Cub,Strain_Energy_Term,Predicted_Solvus_K,Predicted_Solvus_C
Nb75-V25,B2_PENALTY_118_Ru75Cu25_Hf,-0.003673178,3.24817106,3.236261822,-0.923389889,6.375,0.088438935,1.714,0.423797121,-13.5888,0.0,0.0,0.25,0.75,B2_PENALTY_118_Ru75Cu25_Hf,0.375,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.046009832,0.046009832,,-0.0036731779684415,0.0001190396708748,,8.39599492769963e-05,-0.0036731779684415,-0.969399721,-11545.977925758469,4.8458293461967755e-05,0.9693997209999999,20004.82583566069,2243.157997763173,0.0036731779684415,2169.6944383943433,1896.5444383943432,1.3492236387844024e-05,4.9559385444833395e-08,0.2784298708008225,2169.69453630034,1896.54453630034
Ta25-V75,B2_TERN_SOL_097_Ru_Ti75_V25,-0.006158852,3.07386981,3.05499642,-0.905306641,6.125,0.045415458,1.8808,0.320355053,-8.08,0.0,0.25,0.75,0.0,B2_TERN_SOL_097_Ru_Ti75_V25,0.5,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.054791781,0.054791781,,-0.0061588519937397,0.000118642165659,,8.39599492769963e-05,-0.0061588519937397,-0.960098422,-11435.195355257938,4.8458293461967755e-05,0.9600984220000001,19812.88141633647,2221.635108092941,0.0061588519937397,2098.458068218147,1825.3080682181471,3.7931457880791476e-05,2.3361423499456601e-07,0.7827650371254157,2098.4581450174023,1825.3081450174022
Ta75-V25,B2_TERN_SOL_103_Ru_Zr75_Ta25,0.001953767,3.23816412,3.244496924,-0.863325979,6.125,0.083152864,1.7854,0.41776649,-14.64,0.0,0.75,0.25,0.0,B2_TERN_SOL_103_Ru_Zr75_Ta25,0.5,0.0,0.0,0.375,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.057672619,0.057672619,,0.0019537668118129,0.0001211851085101,,8.39599492769963e-05,0.0019537668118129,-0.920998598,-10969.49921874642,4.8458293461967755e-05,0.920998598,19006.005622604953,2131.1594446315808,0.0019537668118129,2092.084108395323,1818.9341083953227,3.817204754941544e-06,7.457927964099182e-09,0.07877299182930281,2092.0842137010804,1818.9342137010804
Ta75-V25,B2_PENALTY_114_Ru75Cr25_Hf,-0.003941913,3.23816412,3.225424668,-0.878162691,5.75,0.088438935,1.6852,0.418297693,-10.488,0.0,0.75,0.25,0.0,B2_PENALTY_114_Ru75Cr25_Hf,0.375,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.057672619,0.057672619,,-0.0039419128963313,0.0001238139099006,,8.39599492769963e-05,-0.0039419128963313,-0.93583531,-11146.2109977287,4.8458293461967755e-05,0.93583531,19312.180498772323,2165.4910917966713,0.0039419128963313,2086.6528338700455,1813.5028338700454,1.5538677282263014e-05,6.125211237088277e-08,0.32066084404021505,2086.6529252188357,1813.5029252188356
Mo25-Ta75,B2_PENALTY_122_Ru75Si25_Hf,-0.004899929,3.26436851,3.248412429,-1.009713639,5.5,0.103842692,1.714,0.423797121,-9.9408,0.25,0.75,0.0,0.0,B2_PENALTY_122_Ru75Si25_Hf,0.375,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,-0.066412535,-0.066412535,,-0.0048999286631772,0.0001242053485864,,8.39599492769963e-05,-0.0048999286631772,-0.943301104,-11235.13189470744,4.8458293461967755e-05,0.9433011040000001,19466.24688177154,2182.7666852984694,0.0048999286631772,2084.7681120349253,1811.6181120349252,2.4009300904225504e-05,1.1764386168346082e-07,0.4954631950270614,2084.7681966999194,1811.6181966999193
Nb25-V75,B2_TERN_SOL_097_Ru_Ti75_V25,-0.007164623,3.07696301,3.05499642,-0.905306641,6.125,0.045415458,1.8808,0.320355053,-8.08,0.0,0.0,0.75,0.25,B2_TERN_SOL_097_Ru_Ti75_V25,0.5,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.056214818,0.056214818,,-0.0071646233967336,0.0001186875459583,,8.39599492769963e-05,-0.0071646233967336,-0.961521459,-11452.144353110534,4.8458293461967755e-05,0.9615214590000001,19842.24763826331,2224.927967332028,0.0071646233967336,2081.635499397356,1808.4854993973559,5.133182841702251e-05,3.6777321887371416e-07,1.0592991364277,2081.635568337298,1808.485568337298
Nb75-V25,B2_TERN_SOL_103_Ru_Zr75_Ta25,-0.00113178,3.24817106,3.244496924,-0.863325979,6.125,0.083152864,1.7854,0.41776649,-14.64,0.0,0.0,0.25,0.75,B2_TERN_SOL_103_Ru_Zr75_Ta25,0.5,0.0,0.0,0.375,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.046009832,0.046009832,,-0.0011317800352812,0.0001208099791399,,8.39599492769963e-05,-0.0011317800352812,-0.909335811,-10830.590285374834,4.8458293461967755e-05,0.9093358109999999,18765.328822685173,2104.172152012731,0.0011317800352812,2081.5365513071074,1808.3865513071073,1.2809260482611144e-06,1.4497265280935722e-09,0.026433577345567123,2081.5366616573237,1808.3866616573237
Nb25-Mo75,B2_TERN_SOL_083_Ru_Hf75_Ta25,0.007956544,3.19107183,3.216563145,-1.032519678,6.125,0.077231013,1.774,0.430260386,-12.36,0.75,0.0,0.0,0.25,B2_TERN_SOL_083_Ru_Hf75_Ta25,0.5,0.375,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,-0.070457653,-0.070457653,,0.0079565440601584,0.0001190993726653,,8.39599492769963e-05,0.0079565440601584,-0.9620620250000002,-11458.58273241704,4.8458293461967755e-05,0.9620620250000002,19853.40292173247,2226.1788186784347,0.0079565440601584,2067.0479374752667,1793.8979374752666,6.330659338124192e-05,5.037016995363835e-07,1.3064140079742548,2067.048000150825,1793.8980001508248
Mo25-Ta75,B2_PENALTY_110_Ru75Al25_Hf,0.00012327,3.26436851,3.264770933,-0.95574225,5.375,0.076510467,1.6792,0.418974176,-15.048,0.25,0.75,0.0,0.0,B2_PENALTY_110_Ru75Al25_Hf,0.375,0.5,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.066412535,-0.066412535,,0.0001232698439091,0.000124220135555,,8.39599492769963e-05,0.0001232698439091,-0.889329715,-10592.3088646227,4.8458293461967755e-05,0.889329715,18352.476974823432,2057.8787260149147,0.0001232698439091,2055.4133291367325,1782.2633291367324,1.519545441737388e-08,1.873141294157522e-12,0.0003135779931932592,2055.413444928039,1782.263444928039
Nb75-Mo25,B2_PENALTY_122_Ru75Si25_Hf,-0.008216499,3.27521311,3.248412429,-1.009713639,5.5,0.103842692,1.714,0.423797121,-9.9408,0.25,0.0,0.0,0.75,B2_PENALTY_122_Ru75Si25_Hf,0.375,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,-0.051633618,-0.051633618,,-0.0082164988900047,0.0001241481444444,,8.39599492769963e-05,-0.0082164988900047,-0.958080021,-11411.155309767426,4.8458293461967755e-05,0.9580800210000001,19771.229082838923,2216.964596798413,0.0082164988900047,2052.6346189983187,1779.4846189983186,6.751085400944845e-05,5.547028570319026e-07,1.3931744018685677,2052.6346790713637,1779.4846790713636
