B2_Name,a_B2,a_BCC,Pred_Misfit,Pred_Energy,Misfit,B2_Ru,B2_Hf,B2_Ti,B2_Al,B2_Zr,B2_Mo,BCC_Mo,BCC_Ta,BCC_V,BCC_Nb,Design_Window
B2_014_RuHf,2.571059804,3.26436851,0.05078941889650001,-1.1893975079875019,-0.237620503,0.5,0.5,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_TERN_SOL_078_Ru_Hf87_Nb12,2.562008656,3.26436851,-0.24135619678354936,-1.0910112459999959,-0.241096597,0.5,0.4375,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_TERN_SOL_079_Ru_Hf75_Nb25,3.221161604,3.26436851,-0.014092686603410032,-0.9908841988318224,-0.013324094,0.5,0.375,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,secondary_2pct
B2_TERN_SOL_080_Ru_Hf87_Mo12,2.554397326,3.26436851,-0.24337924770485272,-1.0115803170000022,-0.244028099,0.5,0.4375,0.0,0.0,0.0,0.0625,0.25,0.75,0.0,0.0,none
B2_TERN_SOL_081_Ru_Hf75_Mo25,3.200127757,3.26436851,-0.01675061208358263,-0.833822359000001,-0.019874945,0.5,0.375,0.0,0.0,0.0,0.125,0.25,0.75,0.0,0.0,secondary_2pct
B2_TERN_SOL_082_Ru_Hf87_Ta12,2.560296043,3.26436851,-0.2419329791360728,-1.1136808880000029,-0.241755542,0.5,0.4375,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_TERN_SOL_083_Ru_Hf75_Ta25,3.216563145,3.26436851,-0.014902906935435258,-1.031572072333247,-0.014752621,0.5,0.375,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,secondary_2pct
B2_TERN_SOL_084_Ru_Hf87_W12,2.554348108,3.26436851,-0.2432662876781862,-1.0171735110000026,-0.244047081,0.5,0.4375,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_TERN_SOL_085_Ru_Hf75_W25,3.200893611,3.26436851,-0.018119886503733945,-0.8368685089999989,-0.019635677,0.5,0.375,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,secondary_2pct
B2_TERN_SOL_086_Ru_Hf87_V12,2.545970218,3.26436851,-0.24603385573086864,-1.0637350309999953,-0.247282758,0.5,0.4375,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_TERN_SOL_087_Ru_Hf75_V25,3.180813173,3.26436851,-0.017088567934099654,-0.9467614393620036,-0.025928001,0.5,0.375,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,secondary_2pct
B2_PENALTY_108_Ru100Al0_Hf,5.135083991,3.26436851,0.05078941889650001,-1.1893975079875019,0.445437481,0.5,0.5,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_PENALTY_109_Ru87Al12_Hf,2.578995294,3.26436851,-0.23500551090464275,-1.0644391099999968,-0.234581737,0.4375,0.5,0.0,0.0625,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_PENALTY_110_Ru75Al25_Hf,3.264770933,3.26436851,-0.0015508865935714266,-0.9557422499999952,0.00012327,0.375,0.5,0.0,0.125,0.0,0.0,0.25,0.75,0.0,0.0,secondary_2pct
B2_PENALTY_111_Ru62Al37_Hf,2.60403723,3.26436851,-0.22541845178499995,-0.8428135389999994,-0.225046225,0.3125,0.5,0.0,0.1875,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_PENALTY_112_Ru50Al50_Hf,4.152701731,3.26436851,0.23950361810966686,-0.7296493139999997,0.239537497,0.25,0.5,0.0,0.25,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_PENALTY_113_Ru87Cr12_Hf,2.562502587,3.26436851,-0.24064690489999965,-1.035615576999996,-0.240906624,0.4375,0.5,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_PENALTY_114_Ru75Cr25_Hf,3.225424668,3.26436851,-0.010193224542999977,-0.878162691,-0.012001566,0.375,0.5,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,secondary_2pct
B2_PENALTY_115_Ru62Cr37_Hf,2.556723432,3.26436851,-0.2421904347999992,-0.716377173,-0.243131387,0.3125,0.5,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_PENALTY_116_Ru50Cr50_Hf,4.053567315,3.26436851,0.21887941159165458,-0.5527963570000015,0.215688911,0.25,0.5,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_PENALTY_117_Ru87Cu12_Hf,2.569438099,3.26436851,-0.2385017954948217,-1.0451929749999984,-0.238242526,0.4375,0.5,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_PENALTY_118_Ru75Cu25_Hf,3.236261822,3.26436851,-0.006998375533571416,-0.9233898889999995,-0.008647373,0.375,0.5,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,secondary_2pct
B2_PENALTY_119_Ru62Cu37_Hf,2.568274935,3.26436851,-0.2362856817549998,-0.7996843589999976,-0.238688883,0.3125,0.5,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_PENALTY_120_Ru50Cu50_Hf,4.076680397,3.26436851,0.22219425723557154,-0.6773582790000026,0.221306763,0.25,0.5,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_PENALTY_121_Ru87Si12_Hf,2.574158138,3.26436851,-0.23717397977500046,-1.089550642000004,-0.236433064,0.4375,0.5,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_PENALTY_122_Ru75Si25_Hf,3.248412429,3.26436851,-0.004821692613357138,-1.0097945739701244,-0.004899929,0.375,0.5,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,secondary_2pct
