B2_Name,a_B2,a_BCC,Pred_Misfit,Pred_Energy,Misfit,B2_Ru,B2_Hf,B2_Ti,B2_Al,B2_Zr,B2_Mo,BCC_Mo,BCC_Ta,BCC_V,BCC_Nb,Design_Window
B2_015_RuTi,2.43976227,3.26436851,-0.17089054623124988,-1.0507473636487377,-0.289125994,0.5,0.0,0.5,0.0,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_TERN_SOL_088_Ru_Ti87_Nb12,2.452124543,3.26436851,-0.28522988260749965,-0.9831852078757626,-0.284175616,0.5,0.0,0.4375,0.0,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_TERN_SOL_089_Ru_Ti75_Nb25,3.102904429,3.26436851,-0.053659330936534674,-0.9031889439999955,-0.050716871,0.5,0.0,0.375,0.0,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_TERN_SOL_090_Ru_Ti87_Mo12,2.443019595,3.26436851,-0.2890019203325005,-0.9214556199999983,-0.287819542,0.5,0.0,0.4375,0.0,0.0,0.0625,0.25,0.75,0.0,0.0,none
B2_TERN_SOL_091_Ru_Ti75_Mo25,3.083886002,3.26436851,-0.057409501782225696,-0.7628383109999981,-0.056860514,0.5,0.0,0.375,0.0,0.0,0.125,0.25,0.75,0.0,0.0,none
B2_TERN_SOL_092_Ru_Ti87_Ta12,2.4505202,3.26436851,-0.28542110491500017,-1.0123424348544736,-0.284816853,0.5,0.0,0.4375,0.0,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_TERN_SOL_093_Ru_Ti75_Ta25,3.098798357,3.26436851,-0.05368926603493548,-0.9581277760919968,-0.052040173,0.5,0.0,0.375,0.0,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_TERN_SOL_094_Ru_Ti87_W12,2.443767345,3.26436851,-0.28969638404083387,-0.9334727529999975,-0.287519844,0.5,0.0,0.4375,0.0,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_TERN_SOL_095_Ru_Ti75_W25,3.082186007,3.26436851,-0.056436440357603035,-0.7896133579999975,-0.057411467,0.5,0.0,0.375,0.0,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_TERN_SOL_096_Ru_Ti87_V12,2.432602346,3.26436851,-0.2902113181840828,-0.9827277876657603,-0.292002956,0.5,0.0,0.4375,0.0,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_TERN_SOL_097_Ru_Ti75_V25,3.05499642,3.26436851,-0.06274082876564303,-0.9053066410000018,-0.066263649,0.5,0.0,0.375,0.0,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_PENALTY_125_Ru100Al0_Ti,4.881705796,3.26436851,-0.17089054623124988,-1.0507473636487377,0.397083853,0.5,0.0,0.5,0.0,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_PENALTY_126_Ru87Al12_Ti,2.450404438,3.26436851,-0.286183364974999,-0.9702671740000048,-0.284863136,0.4375,0.0,0.5,0.0625,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_PENALTY_127_Ru75Al25_Ti,3.09969531,3.26436851,-0.05368414628500005,-0.8881906299999975,-0.051750958,0.375,0.0,0.5,0.125,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_PENALTY_128_Ru62Al37_Ti,2.471374896,3.26436851,-0.27698082373000044,-0.8044402650000002,-0.276509445,0.3125,0.0,0.5,0.1875,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_PENALTY_129_Ru50Al50_Ti,3.939553259,3.26436851,0.1856486397030003,-0.7137016730000019,0.187449217,0.25,0.0,0.5,0.25,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_PENALTY_130_Ru87Cr12_Ti,2.434397938,3.26436851,-0.2908814832399991,-0.9427045900000031,-0.291280781,0.4375,0.0,0.5,0.0,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_PENALTY_131_Ru75Cr25_Ti,3.061448806,3.26436851,-0.062318247210000066,-0.8096196399999966,-0.064156043,0.375,0.0,0.5,0.0,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_PENALTY_132_Ru62Cr37_Ti,2.424470344,3.26436851,-0.29449983009999925,-0.6756799220000004,-0.295279296,0.3125,0.0,0.5,0.0,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_PENALTY_133_Ru50Cr50_Ti,3.839681408,3.26436851,0.16383552746499963,-0.5380779740000005,0.161967583,0.25,0.0,0.5,0.0,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_PENALTY_134_Ru87Cu12_Ti,2.441297595,3.26436851,-0.28935501691999876,-0.9197299369999997,-0.288510018,0.4375,0.0,0.5,0.0,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_PENALTY_135_Ru75Cu25_Ti,3.074675013,3.26436851,-0.05967467828500013,-0.8017171889999983,-0.059849249,0.375,0.0,0.5,0.0,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_PENALTY_136_Ru62Cu37_Ti,2.440175866,3.26436851,-0.28938371493000054,-0.6806409090000018,-0.288960025,0.3125,0.0,0.5,0.0,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_PENALTY_137_Ru50Cu50_Ti,3.872743044,3.26436851,0.17137832727574998,-0.5577977589999992,0.170482002,0.25,0.0,0.5,0.0,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_PENALTY_138_Ru87Si12_Ti,2.443848687,3.26436851,-0.2881105209449991,-0.989505901999998,-0.287487247,0.4375,0.0,0.5,0.0,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_PENALTY_139_Ru75Si25_Ti,3.0820502,3.26436851,-0.05787309231499996,-0.9361164499999955,-0.057455494,0.375,0.0,0.5,0.0,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_PENALTY_140_Ru62Si37_Ti,2.448470295,3.26436851,-0.28542714848500067,-0.8697570390000041,-0.285636701,0.3125,0.0,0.5,0.0,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_PENALTY_141_Ru50Si50_Ti,3.890404933,3.26436851,0.17406957923925057,-0.808674346999996,0.174998252,0.25,0.0,0.5,0.0,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_MULTI_159_A_Ru87_Al12_B_HfTi,2.518380484,3.26436851,-0.25857281497250045,-0.9951158348858226,-0.258004636,0.4375,0.25,0.25,0.0625,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_MULTI_160_A_Ru75_Al25_B_HfTi,3.186447237,3.26436851,-0.024097994504999973,-0.9000343030000024,-0.02415858,0.375,0.25,0.25,0.125,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_MULTI_161_A_Ru87_Al12_B_HfZr,2.593983772,3.26436851,-0.2298836847510006,-0.9668944039999964,-0.228864604,0.4375,0.25,0.0,0.0625,0.25,0.0,0.25,0.75,0.0,0.0,none
B2_MULTI_162_A_Ru75_Al25_B_HfZr,3.283818469,3.26436851,0.005421340397500006,-0.8758682595082984,0.005940563,0.375,0.25,0.0,0.125,0.25,0.0,0.25,0.75,0.0,0.0,secondary_2pct
B2_MULTI_163_A_Ru87_Al12_B_HfAl,2.495293785,3.26436851,-0.27694926734500036,-4.954411073999979,-0.267055492,0.25,0.0625,0.0,0.1875,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_MULTI_163_A_Ru87_Al13_B_HfAl,2.494957013,3.26436851,-0.26797284847999964,-1.042495012961614,-0.267188057,0.4375,0.25,0.0,0.3125,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_MULTI_164_A_Ru75_Al25_B_HfAl,3.160855152,3.26436851,-0.0311171563549999,-0.9328003089999964,-0.032220935,0.375,0.25,0.0,0.375,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_MULTI_165_A_Ru87_Al12_B_TiZr,2.533666714,3.26436851,-0.2520447198399997,-0.8820999873413358,-0.25205152,0.4375,0.0,0.25,0.0625,0.25,0.0,0.25,0.75,0.0,0.0,none
B2_MULTI_166_A_Ru75_Al25_B_TiZr,3.206361714,3.26436851,-0.017670291657857197,-0.808063227,-0.01792898,0.375,0.0,0.25,0.125,0.25,0.0,0.25,0.75,0.0,0.0,secondary_2pct
B2_MULTI_167_A_Ru87_Al12_B_TiAl,2.424572308,3.26436851,-0.2944263941450002,-5.952786629000001,-0.295238157,0.0625,0.0,0.0625,0.25,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_MULTI_167_A_Ru87_Al13_B_TiAl,2.424470144,3.26436851,-0.2944539245299997,-1.0210210769872234,-0.295279377,0.4375,0.0,0.25,0.3125,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_MULTI_168_A_Ru75_Al25_B_TiAl,3.070901903,3.26436851,-0.060587707039999966,-0.9413853389999953,-0.061076038,0.375,0.0,0.25,0.375,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_MULTI_169_A_Ru87_Al12_B_ZrAl,2.512434563,3.26436851,-0.2619048266550005,-3.978965603999996,-0.260328745,0.3125,0.0,0.0,0.0625,0.125,0.0,0.25,0.75,0.0,0.0,none
B2_MULTI_169_A_Ru87_Al13_B_ZrAl,2.512433663,3.26436851,-0.26048190917750047,-0.9520394900000023,-0.260329097,0.4375,0.0,0.0,0.3125,0.25,0.0,0.25,0.75,0.0,0.0,none
B2_MULTI_170_A_Ru75_Al25_B_ZrAl,3.180115415,3.26436851,-0.027156347139999967,-0.8854183384772708,-0.026147352,0.375,0.0,0.0,0.375,0.25,0.0,0.25,0.75,0.0,0.0,none
B2_015_RuTi,2.43976227,3.02092873,0.12067178621316668,-1.053187662630803,-0.212854549,0.5,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_TERN_SOL_088_Ru_Ti87_Nb12,2.452124543,3.02092873,-0.21103330113749977,-0.9831852078757626,-0.207856258,0.5,0.0,0.4375,0.0,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_TERN_SOL_089_Ru_Ti75_Nb25,3.102904429,3.02092873,0.019572585141310456,-0.9031889439999955,0.026772676,0.5,0.0,0.375,0.0,0.0,0.0,0.25,0.0,0.75,0.0,secondary_2pct
B2_TERN_SOL_090_Ru_Ti87_Mo12,2.443019595,3.02092873,-0.21716493619500046,-0.9214556199999983,-0.211535359,0.5,0.0,0.4375,0.0,0.0,0.0625,0.25,0.0,0.75,0.0,none
B2_TERN_SOL_091_Ru_Ti75_Mo25,3.083886002,3.02092873,0.012756165169674887,-0.7628383109999981,0.020625449,0.5,0.0,0.375,0.0,0.0,0.125,0.25,0.0,0.75,0.0,secondary_2pct
B2_TERN_SOL_092_Ru_Ti87_Ta12,2.4505202,3.02092873,-0.2117472983324997,-1.0123424348544736,-0.208503648,0.5,0.0,0.4375,0.0,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_TERN_SOL_093_Ru_Ti75_Ta25,3.098798357,3.02092873,0.015547636688302412,-0.9581277760919968,0.025448725,0.5,0.0,0.375,0.0,0.0,0.0,0.25,0.0,0.75,0.0,secondary_2pct
B2_TERN_SOL_094_Ru_Ti87_W12,2.443767345,3.02092873,-0.2178661862100003,-0.9334727529999975,-0.211232748,0.5,0.0,0.4375,0.0,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_TERN_SOL_095_Ru_Ti75_W25,3.082186007,3.02092873,0.015113432499852898,-0.7896133579999975,0.020074103,0.5,0.0,0.375,0.0,0.0,0.0,0.25,0.0,0.75,0.0,secondary_2pct
B2_TERN_SOL_096_Ru_Ti87_V12,2.432602346,3.02092873,-0.21554893521749974,-0.9827277876657603,-0.215759799,0.5,0.0,0.4375,0.0,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_TERN_SOL_097_Ru_Ti75_V25,3.05499642,3.02092873,0.009557254084887185,-0.9053066410000018,0.011213993,0.5,0.0,0.375,0.0,0.0,0.0,0.25,0.0,0.75,0.0,secondary_2pct
B2_PENALTY_125_Ru100Al0_Ti,4.881705796,3.02092873,0.12067178621316668,-1.053187662630803,0.470925755,0.5,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_PENALTY_126_Ru87Al12_Ti,2.450404438,3.02092873,-0.21530115161999996,-0.9702671740000048,-0.208550375,0.4375,0.0,0.5,0.0625,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_PENALTY_127_Ru75Al25_Ti,3.09969531,3.02092873,0.02158554297000006,-0.8881906299999975,0.025738088,0.375,0.0,0.5,0.125,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_PENALTY_128_Ru62Al37_Ti,2.471374896,3.02092873,-0.20482565277999978,-0.8044402650000002,-0.200117791,0.3125,0.0,0.5,0.1875,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_PENALTY_129_Ru50Al50_Ti,3.939553259,3.02092873,0.2577760603549994,-0.7137016730000019,0.263954287,0.25,0.0,0.5,0.25,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_PENALTY_130_Ru87Cr12_Ti,2.434397938,3.02092873,-0.2158555053475002,-0.9427045900000031,-0.215030493,0.4375,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_PENALTY_131_Ru75Cr25_Ti,3.061448806,3.02092873,0.014345520800000035,-0.8096196399999966,0.013323762,0.375,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.75,0.0,secondary_2pct
