alloy_name,run_folder,natoms,missing_refs,volume_A3,a_A,b_A,c_A,alpha_deg,beta_deg,gamma_deg,lattice_parameter,n_formula_units,multiplicity,total_energy_eV,energy_per_atom_eV,formation_energy_per_atom_eV,formation_energy_per_atom_meV,VEC,VEC_missing_for,X_Ru,X_Hf,X_Ti,X_Zr,X_Al,X_Mo,X_Nb,X_Ta,X_W,X_V,X_Cr,X_Cu,X_Si
B2_014_RuHf,./02_Binary_B2/B2_014_RuHf,2,,33.99120273,3.239332368,3.239332368,3.239332368,90,90,90,2.571059804,2,1,-20.84758265,-10.42379133,-1.190557465,-1190.557465,6,,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0
B2_015_RuTi,./02_Binary_B2/B2_015_RuTi,2,,29.04507675,3.073907841,3.073907841,3.073907841,90,90,90,2.43976227,2,1,-18.46114039,-9.230570195,-1.048598035,-1048.598035,6,,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0
B2_016_RuZr,./02_Binary_B2/B2_016_RuZr,2,,34.93831984,3.269143657,3.269143657,3.269143657,90,90,90,2.59472104,2,1,-19.01160428,-9.50580214,-0.959079125,-959.079125,6,,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0
B2_017_RuAl,./02_Binary_B2/B2_017_RuAl,2,,27.25167933,3.009292643,3.009292643,3.009292643,90,90,90,2.388477153,2,1,-14.26863795,-7.134318975,-1.00191235,-1001.91235,5.5,,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0
MATRIX_BIN_018_Nb12_Mo87,./03_Matrix_Binaries/MATRIX_BIN_018_Nb12_Mo87,8,,127.484105,5.491520933,5.491520933,5.491520933,109.4712206,109.4712206,109.4712206,2.516452193,8,1,-87.07949792,-10.88493724,-0.074598622,-74.5986225,5.875,,0,0,0,0,0,0.875,0.125,0,0,0,0,0,0
MATRIX_BIN_019_Nb25_Mo75,./03_Matrix_Binaries/MATRIX_BIN_019_Nb25_Mo75,8,,129.6599716,5.518852015,5.518852015,5.518852015,109.4161991,109.4161991,109.4161991,3.18846737,4,2,-86.44918102,-10.80614763,-0.093096702,-93.0967025,5.75,,0,0,0,0,0,0.75,0.25,0,0,0,0,0,0
MATRIX_BIN_020_Nb50_Mo50,./03_Matrix_Binaries/MATRIX_BIN_020_Nb50_Mo50,8,,134.6753886,5.592895669,5.592895669,5.592895669,109.455038,109.4793125,109.4793125,4.068360358,2,4,-84.69314409,-10.58664301,-0.068167471,-68.16747125,5.5,,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0
MATRIX_BIN_021_Nb75_Mo25,./03_Matrix_Binaries/MATRIX_BIN_021_Nb75_Mo25,8,,140.6719055,5.615228381,5.86111503,5.615228381,110.3607416,108.5672389,110.3607416,3.276290931,4,2,-82.62237928,-10.32779741,-0.003897255,-3.897255,5.25,,0,0,0,0,0,0.25,0.75,0,0,0,0,0,0
MATRIX_BIN_022_Nb87_Mo12,./03_Matrix_Binaries/MATRIX_BIN_022_Nb87_Mo12,8,,143.6884828,5.714978706,5.714978706,5.714978706,109.4712206,109.4712206,109.4712206,2.618850201,8,1,-81.59885608,-10.19985701,0.026755452,26.7554525,5.125,,0,0,0,0,0,0.125,0.875,0,0,0,0,0,0
MATRIX_BIN_023_Nb12_Ta87,./03_Matrix_Binaries/MATRIX_BIN_023_Nb12_Ta87,8,,145.3888145,5.737433022,5.737433022,5.737433022,109.4712206,109.4712206,109.4712206,2.629139739,8,1,-93.16562051,-11.64570256,0.01664066,16.64066,5,,0,0,0,0,0,0,0.125,0.875,0,0,0,0,0
MATRIX_BIN_024_Nb25_Ta75,./03_Matrix_Binaries/MATRIX_BIN_024_Nb25_Ta75,8,,145.6721905,5.740961472,5.741748447,5.740961472,109.4739975,109.4684436,109.4739975,3.314659229,4,2,-91.36615254,-11.42076907,0.02257152,22.57152,5,,0,0,0,0,0,0,0.25,0.75,0,0,0,0,0
MATRIX_BIN_025_Nb50_Ta50,./03_Matrix_Binaries/MATRIX_BIN_025_Nb50_Ta50,8,,146.2296825,5.748476229,5.748476229,5.748476229,109.3818899,109.5159044,109.5159044,4.181529649,2,4,-87.78357797,-10.97294725,0.032388069,32.38806875,5,,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0
MATRIX_BIN_026_Nb75_Ta25,./03_Matrix_Binaries/MATRIX_BIN_026_Nb75_Ta25,8,,146.6796287,5.754130832,5.754130832,5.754130832,109.4679551,109.4679551,109.4679551,3.322282844,4,2,-84.19168724,-10.52396091,0.043369138,43.3691375,5,,0,0,0,0,0,0,0.75,0.25,0,0,0,0,0
MATRIX_BIN_027_Nb87_Ta12,./03_Matrix_Binaries/MATRIX_BIN_027_Nb87_Ta12,8,,146.8782105,5.756958354,5.756958354,5.756958354,109.4712206,109.4712206,109.4712206,2.638087089,8,1,-82.40446309,-10.30055789,0.04776952,47.76952,5,,0,0,0,0,0,0,0.875,0.125,0,0,0,0,0
MATRIX_BIN_028_Nb12_W87,./03_Matrix_Binaries/MATRIX_BIN_028_Nb12_W87,8,,129.559748,5.521164181,5.521164181,5.521164181,109.4712206,109.4712206,109.4712206,2.53003601,8,1,-101.5005674,-12.68757092,-0.064576028,-64.5760275,5.875,,0,0,0,0,0,0,0.125,0,0.875,0,0,0,0
MATRIX_BIN_029_Nb25_W75,./03_Matrix_Binaries/MATRIX_BIN_029_Nb25_W75,8,,131.3295228,5.546676711,5.54473083,5.546676711,109.4641142,109.4783261,109.4641142,3.202094355,4,2,-98.67785462,-12.33473183,-0.067975525,-67.975525,5.75,,0,0,0,0,0,0,0.25,0,0.75,0,0,0,0
MATRIX_BIN_030_Nb50_W50,./03_Matrix_Binaries/MATRIX_BIN_030_Nb50_W50,8,,135.5419548,5.604866189,5.604866189,5.604866189,109.4378544,109.4879063,109.4879063,4.077067638,2,4,-92.62789725,-11.57848716,-0.024208031,-24.20803125,5.5,,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0
MATRIX_BIN_031_Nb75_W25,./03_Matrix_Binaries/MATRIX_BIN_031_Nb75_W25,8,,140.9112851,5.679559429,5.679559429,5.679559429,109.4945866,109.4945866,109.4945866,3.278148285,4,2,-86.52372624,-10.81546578,0.026336168,26.3361675,5.25,,0,0,0,0,0,0,0.75,0,0.25,0,0,0,0
MATRIX_BIN_032_Nb87_W12,./03_Matrix_Binaries/MATRIX_BIN_032_Nb87_W12,8,,143.8837826,5.71756678,5.71756678,5.71756678,109.4712206,109.4712206,109.4712206,2.620036168,8,1,-83.5468681,-10.44335851,0.042204846,42.20484625,5.125,,0,0,0,0,0,0,0.875,0,0.125,0,0,0,0
MATRIX_BIN_033_Nb12_V87,./03_Matrix_Binaries/MATRIX_BIN_033_Nb12_V87,8,,111.5137924,5.251904563,5.251904563,5.251904563,109.4712206,109.4712206,109.4712206,2.406649618,8,1,-72.31808323,-9.039760404,0.08248568,82.48568,5,,0,0,0,0,0,0,0.125,0,0,0.875,0,0,0
MATRIX_BIN_034_Nb25_V75,./03_Matrix_Binaries/MATRIX_BIN_034_Nb25_V75,8,,116.9628193,5.276701334,5.522771091,5.276701334,110.4186887,108.50736,110.4186887,3.080793662,4,2,-73.17127635,-9.146409544,0.119704924,119.7049237,5,,0,0,0,0,0,0,0.25,0,0,0.75,0,0,0
MATRIX_BIN_035_Nb50_V50,./03_Matrix_Binaries/MATRIX_BIN_035_Nb50_V50,8,,127.7781052,5.495743358,5.495743358,5.495743358,109.5714289,109.4211398,109.4211398,3.997687259,2,4,-75.2607292,-9.40759115,0.146260085,146.260085,5,,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0
MATRIX_BIN_036_Nb75_V25,./03_Matrix_Binaries/MATRIX_BIN_036_Nb75_V25,8,,137.6330239,5.564707236,5.564707236,5.564707236,108.4058428,108.4058428,108.4058428,3.252526823,4,2,-77.81420537,-9.726775671,0.114812331,114.8123313,5,,0,0,0,0,0,0,0.75,0,0,0.25,0,0,0
MATRIX_BIN_037_Nb87_V12,./03_Matrix_Binaries/MATRIX_BIN_037_Nb87_V12,8,,142.267756,5.696080575,5.696080575,5.696080575,109.4712206,109.4712206,109.4712206,2.61019026,8,1,-79.19506047,-9.899382559,0.086073827,86.0738275,5,,0,0,0,0,0,0,0.875,0,0,0.125,0,0,0
MATRIX_BIN_038_Mo12_Ta87,./03_Matrix_Binaries/MATRIX_BIN_038_Mo12_Ta87,8,,142.1452068,5.694444574,5.694444574,5.694444574,109.4712206,109.4712206,109.4712206,2.609440574,8,1,-94.25223833,-11.78152979,-0.021898875,-21.898875,5.125,,0,0,0,0,0,0.125,0,0.875,0,0,0,0,0
MATRIX_BIN_039_Mo25_Ta75,./03_Matrix_Binaries/MATRIX_BIN_039_Mo25_Ta75,8,,139.2234945,5.632205495,5.725164888,5.632205495,109.8059113,109.1344663,109.8059113,3.265007474,4,2,-93.46605854,-11.68325732,-0.045341345,-45.341345,5.25,,0,0,0,0,0,0.25,0,0.75,0,0,0,0,0
MATRIX_BIN_040_Mo50_Ta50,./03_Matrix_Binaries/MATRIX_BIN_040_Mo50_Ta50,8,,133.512004,5.576744509,5.576744509,5.576744509,109.4912384,109.4612127,109.4612127,4.056611707,2,4,-92.07597536,-11.50949692,-0.115010835,-115.010835,5.5,,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0
MATRIX_BIN_041_Mo75_Ta25,./03_Matrix_Binaries/MATRIX_BIN_041_Mo75_Ta25,8,,129.0711909,5.500478496,5.500478496,5.500478496,109.2664257,109.2664257,109.2664257,3.183633813,4,2,-90.28410054,-11.28551257,-0.13445637,-134.45637,5.75,,0,0,0,0,0,0.75,0,0.25,0,0,0,0,0
