alloy_name_alpha,run_folder,natoms,Pct_Al,Pct_Cr,Pct_Cu,Pct_Hf,Pct_Mo,Pct_Nb,Pct_Ru,Pct_Si,Pct_Ta,Pct_Ti,Pct_V,Pct_W,Pct_Zr,total_energy_eV,energy_per_atom_eV,formation_e_per_atom_eV,formation_meV_per_atom,formation_meV_per_formula_unit,formula_unit_atoms,missing_refs,volume_A3,a_A,b_A,c_A,alpha_deg,beta_deg,gamma_deg,Ru_at_frac,vec_avg,radius_avg,vol_avg,delta_r,chi_avg,delta_chi,Hmix_kJmol
Hf50Ru50,./02_Binary_B2/B2_014_RuHf,2,0,0,0,50,0,0,50,0,0,0,0,0,0,-20.84971713,-10.424858565,-1.1897538599999997,-1189.7538599999998,-2379.5077199999996,2,,33.99120273391355,3.23933236808707,3.23933236808707,3.23933236808707,90.0,90.0,90.0,0.5,6.0,1.46,18.05,0.0821917808219178,1.75,0.45000000000000007,-15.0
Ru50Ti50,./02_Binary_B2/B2_015_RuTi,2,0,0,0,0,0,0,50,0,0,50,0,0,0,-18.47136397,-9.235681985,-1.0533684799999996,-1053.3684799999996,-2106.7369599999993,2,,29.045076748429068,3.0739078413132943,3.0739078413132943,3.0739078413132943,90.0,90.0,90.0,0.5,6.0,1.405,15.75,0.0462633451957295,1.87,0.33000000000000007,-10.0
Ru50Zr50,./02_Binary_B2/B2_016_RuZr,2,0,0,0,0,0,0,50,0,0,0,0,0,50,-19.02212636,-9.51106318,-0.9645194799999999,-964.5194799999999,-1929.0389599999999,2,,34.93831983737696,3.269143657445923,3.269143657445923,3.269143657445923,90.0,90.0,90.0,0.5,6.0,1.4700000000000002,18.55,0.08843537414965985,1.7650000000000001,0.43500000000000005,-18.0
Al50Ru50,./02_Binary_B2/B2_017_RuAl,2,50,0,0,0,0,0,50,0,0,0,0,0,0,-14.2788484,-7.1394242,-1.0091544,-1009.1543999999999,-2018.3087999999998,2,,27.251679334548,3.0092926427119018,3.0092926427119018,3.0092926427119018,90.0,90.0,90.0,0.5,5.5,1.385,15.200000000000001,0.03249097472924184,1.9050000000000002,0.29500000000000004,-20.0
Mo88Nb12,./03_Matrix_Binaries/MATRIX_BIN_018_Nb12_Mo87,8,0,0,0,0,88,12,0,0,0,0,0,0,0,-87.06796885,-10.88349610625,-0.06764311905000042,-67.64311905000042,-67.64311905000042,1,,127.4841050128055,5.491520932547303,5.491520932547303,5.491520932547303,109.47122063449069,109.47122063449069,109.47122063449069,0.0,5.88,1.3983999999999999,15.888,0.01626666728617038,2.0928,0.18197846026384554,-0.8448
Mo75Nb25,./03_Matrix_Binaries/MATRIX_BIN_019_Nb25_Mo75,8,0,0,0,0,75,25,0,0,0,0,0,0,0,-86.44659853,-10.80582481625,-0.09098497375000214,-90.98497375000214,-181.96994750000428,2,,129.65997160424513,5.5188520150590525,5.518852015059052,5.5188520150590525,109.41619905969311,109.4161990596931,109.41619905969311,0.0,5.75,1.4075,16.2,0.021535267589666326,2.02,0.24248711305964285,-1.5
Mo50Nb50,./03_Matrix_Binaries/MATRIX_BIN_020_Nb50_Mo50,8,0,0,0,0,50,50,0,0,0,0,0,0,0,-84.67342037,-10.58417754625,-0.06359375125,-63.59375125,-63.59375125,1,,134.6753885660103,5.59289566908776,5.59289566908776,5.59289566908776,109.45503804563481,109.4793125348501,109.4793125348501,0.0,5.5,1.4249999999999998,16.8,0.02456140350877195,1.8800000000000001,0.28,-2.0
Mo25Nb75,./03_Matrix_Binaries/MATRIX_BIN_021_Nb75_Mo25,8,0,0,0,0,25,75,0,0,0,0,0,0,0,-82.62941992,-10.32867749,-0.002349742500001639,-2.349742500001639,-2.349742500001639,1,,140.67190553322507,5.615228380857904,5.86111502989838,5.615228380857904,110.36074158261663,108.56723886503266,110.36074158261663,0.0,5.25,1.4425,17.4,0.02101274809875594,1.7400000000000002,0.24248711305964285,-1.5
Mo12Nb88,./03_Matrix_Binaries/MATRIX_BIN_022_Nb87_Mo12,8,0,0,0,0,12,88,0,0,0,0,0,0,0,-81.62607156,-10.203258945,0.022055657799999295,22.055657799999295,22.055657799999295,1,,143.68848276075693,5.714978706354022,5.714978706354022,5.714978706354022,109.47122063449069,109.47122063449069,109.47122063449069,0.0,5.12,1.4516,17.712,0.015670506705001846,1.6672000000000002,0.18197846026384554,-0.8448
Nb12Ta88,./03_Matrix_Binaries/MATRIX_BIN_023_Nb12_Ta87,8,0,0,0,0,0,12,0,0,88,0,0,0,0,-93.14704896,-11.64338112,0.03520952319999893,35.20952319999893,35.20952319999893,1,,145.38881449146623,5.737433022045434,5.737433022045434,5.737433022045434,109.47122063449069,109.47122063449069,109.47122063449069,0.0,5.0,1.46,18.0,0.0,1.512,0.03249615361854387,-0.4224
Nb25Ta75,./03_Matrix_Binaries/MATRIX_BIN_024_Nb25_Ta75,8,0,0,0,0,0,25,0,0,75,0,0,0,0,-91.35628272,-11.41953534,0.030592277500000264,30.592277500000264,61.18455500000053,2,,145.67219046859557,5.7409614715984825,5.741748446864221,5.7409614715984825,109.47399751895396,109.46844360728541,109.47399751895396,0.0,5.0,1.46,18.0,0.0,1.525,0.043301270189221974,-0.75
Nb50Ta50,./03_Matrix_Binaries/MATRIX_BIN_025_Nb50_Ta50,8,0,0,0,0,0,50,0,0,50,0,0,0,0,-87.78908437,-10.97363554625,0.03714009874999924,37.14009874999924,37.14009874999924,1,,146.22968249284142,5.748476228810679,5.748476228810679,5.748476228810679,109.38188992029221,109.51590444878693,109.51590444878693,0.0,5.0,1.46,18.0,0.0,1.55,0.050000000000000044,-1.0
Nb75Ta25,./03_Matrix_Binaries/MATRIX_BIN_026_Nb75_Ta25,8,0,0,0,0,0,75,0,0,25,0,0,0,0,-84.21108148,-10.526385185,0.04503848749999939,45.03848749999939,45.03848749999939,1,,146.67962867630695,5.754130831743048,5.7541308317430495,5.7541308317430495,109.46795513494983,109.46795513494983,109.46795513494983,0.0,5.0,1.46,18.0,0.0,1.5750000000000002,0.043301270189221974,-0.75
Nb88Ta12,./03_Matrix_Binaries/MATRIX_BIN_027_Nb87_Ta12,8,0,0,0,0,0,88,0,0,12,0,0,0,0,-82.43061023,-10.30382627875,0.039134368050000035,39.134368050000035,39.134368050000035,1,,146.87821045105937,5.756958353726667,5.756958353726667,5.756958353726667,109.47122063449069,109.47122063449069,109.47122063449069,0.0,5.0,1.46,18.0,0.0,1.588,0.03249615361854387,-0.4224
Nb12W88,./03_Matrix_Binaries/MATRIX_BIN_028_Nb12_W87,8,0,0,0,0,0,12,0,0,0,0,0,88,0,-101.50591787,-12.68823973375,-0.05134521215000021,-51.34521215000021,-51.34521215000021,1,,129.5597479925436,5.521164180741036,5.521164180741036,5.521164180741036,109.47122063449069,109.47122063449069,109.47122063449069,0.0,5.88,1.3983999999999999,16.064,0.01626666728617038,2.2688,0.24697076750093314,-0.8448
