BCC_Name,B2_Name,Misfit,a_BCC,a_B2,B2_Formation_Energy,B2_VEC,B2_delta_r,B2_chi_avg,B2_delta_chi,B2_Hmix,BCC_Name,BCC_Mo,BCC_Ta,BCC_V,BCC_Nb,B2_Name,B2_Ru,B2_Hf,B2_Ti,B2_Zr,B2_Al,B2_Mo,B2_Nb,B2_Ta,B2_W,B2_V,B2_Cr,B2_Cu,B2_Si
Mo25-Ta75,B2_014_RuHf,-0.2376205031382724,3.26436851,2.571059804,-1.190557465,6.0,0.0821917808219178,1.75,0.45,-15.0,Mo25-Ta75,0.25,0.75,0.0,0.0,B2_014_RuHf,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mo25-Ta75,B2_015_RuTi,-0.28912599370661696,3.26436851,2.43976227,-1.048598035,6.0,0.0462633451957295,1.87,0.33,-10.0,Mo25-Ta75,0.25,0.75,0.0,0.0,B2_015_RuTi,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mo25-Ta75,B2_016_RuZr,-0.2285841389811153,3.26436851,2.59472104,-0.959079125,6.0,0.0884353741496598,1.765,0.435,-18.0,Mo25-Ta75,0.25,0.75,0.0,0.0,B2_016_RuZr,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mo25-Ta75,B2_017_RuAl,-0.30989395756301574,3.26436851,2.388477153,-1.00191235,5.5,0.0324909747292418,1.905,0.295,-20.0,Mo25-Ta75,0.25,0.75,0.0,0.0,B2_017_RuAl,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mo25-Ta75,MATRIX_BIN_018_Nb12_Mo87,-0.2587578322959795,3.26436851,2.516452193,-0.074598622,5.875,0.0162666672861703,2.0928,0.1819784602638455,-0.8448,Mo25-Ta75,0.25,0.75,0.0,0.0,MATRIX_BIN_018_Nb12_Mo87,0.0,0.0,0.0,0.0,0.0,0.875,0.125,0.0,0.0,0.0,0.0,0.0,0.0
Mo25-Ta75,MATRIX_BIN_019_Nb25_Mo75,-0.023524893988160763,3.26436851,3.18846737,-0.093096702,5.75,0.0215352675896663,2.02,0.2424871130596428,-1.5,Mo25-Ta75,0.25,0.75,0.0,0.0,MATRIX_BIN_019_Nb25_Mo75,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0
Mo25-Ta75,MATRIX_BIN_020_Nb50_Mo50,0.21928857931966275,3.26436851,4.068360358,-0.068167471,5.5,0.0245614035087719,1.88,0.28,-2.0,Mo25-Ta75,0.25,0.75,0.0,0.0,MATRIX_BIN_020_Nb50_Mo50,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Mo25-Ta75,MATRIX_BIN_021_Nb75_Mo25,0.0036456327095291,3.26436851,3.276290931,-0.003897255,5.25,0.0210127480987559,1.7400000000000002,0.2424871130596428,-1.5,Mo25-Ta75,0.25,0.75,0.0,0.0,MATRIX_BIN_021_Nb75_Mo25,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0
Mo25-Ta75,MATRIX_BIN_022_Nb87_Mo12,-0.21944392711189156,3.26436851,2.618850201,0.026755452,5.125,0.0156705067050018,1.6672000000000002,0.1819784602638455,-0.8448,Mo25-Ta75,0.25,0.75,0.0,0.0,MATRIX_BIN_022_Nb87_Mo12,0.0,0.0,0.0,0.0,0.0,0.125,0.875,0.0,0.0,0.0,0.0,0.0,0.0
Mo25-Ta75,MATRIX_BIN_023_Nb12_Ta87,-0.2155689766304423,3.26436851,2.629139739,0.01664066,5.0,0.0,1.512,0.0324961536185438,-0.4224,Mo25-Ta75,0.25,0.75,0.0,0.0,MATRIX_BIN_023_Nb12_Ta87,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.875,0.0,0.0,0.0,0.0,0.0
Mo25-Ta75,MATRIX_BIN_024_Nb25_Ta75,0.015288191810434294,3.26436851,3.314659229,0.02257152,5.0,0.0,1.525,0.0433012701892219,-0.75,Mo25-Ta75,0.25,0.75,0.0,0.0,MATRIX_BIN_024_Nb25_Ta75,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,0.0,0.0,0.0
Mo25-Ta75,MATRIX_BIN_025_Nb50_Ta50,0.24635339334890294,3.26436851,4.181529649,0.032388069,5.0,0.0,1.55,0.05,-1.0,Mo25-Ta75,0.25,0.75,0.0,0.0,MATRIX_BIN_025_Nb50_Ta50,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
Mo25-Ta75,MATRIX_BIN_026_Nb75_Ta25,0.017585364971482564,3.26436851,3.322282844,0.043369138,5.0,0.0,1.5750000000000002,0.0433012701892219,-0.75,Mo25-Ta75,0.25,0.75,0.0,0.0,MATRIX_BIN_026_Nb75_Ta25,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0
