B2_Name,a_B2,B2_Formation_Energy,B2_VEC,B2_delta_r,B2_chi_avg,B2_delta_chi,B2_Hmix,B2_Ru,B2_Hf,B2_Ti,B2_Zr,B2_Al,B2_Mo,B2_Nb,B2_Ta,B2_W,B2_V,B2_Cr,B2_Cu,B2_Si
B2_014_RuHf,2.571059804,-1.190557465,6.0,0.0821917808219178,1.75,0.45,-15.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B2_015_RuTi,2.43976227,-1.048598035,6.0,0.0462633451957295,1.87,0.33,-10.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B2_016_RuZr,2.59472104,-0.959079125,6.0,0.0884353741496598,1.765,0.435,-18.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B2_017_RuAl,2.388477153,-1.00191235,5.5,0.0324909747292418,1.905,0.295,-20.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MATRIX_BIN_018_Nb12_Mo87,2.516452193,-0.074598622,5.875,0.0162666672861703,2.0928,0.1819784602638455,-0.8448,0.0,0.0,0.0,0.0,0.0,0.875,0.125,0.0,0.0,0.0,0.0,0.0,0.0
MATRIX_BIN_019_Nb25_Mo75,3.18846737,-0.093096702,5.75,0.0215352675896663,2.02,0.2424871130596428,-1.5,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0
MATRIX_BIN_020_Nb50_Mo50,4.068360358,-0.068167471,5.5,0.0245614035087719,1.88,0.28,-2.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
MATRIX_BIN_021_Nb75_Mo25,3.276290931,-0.003897255,5.25,0.0210127480987559,1.7400000000000002,0.2424871130596428,-1.5,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0
MATRIX_BIN_022_Nb87_Mo12,2.618850201,0.026755452,5.125,0.0156705067050018,1.6672000000000002,0.1819784602638455,-0.8448,0.0,0.0,0.0,0.0,0.0,0.125,0.875,0.0,0.0,0.0,0.0,0.0,0.0
MATRIX_BIN_023_Nb12_Ta87,2.629139739,0.01664066,5.0,0.0,1.512,0.0324961536185438,-0.4224,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.875,0.0,0.0,0.0,0.0,0.0
