folder,relax_path,natoms,volume_A3,a_from_volume_A,a_from_vectors_mean_A,vec_len_1_A,vec_len_2_A,vec_len_3_A,vec_angles_deg,notes,a_BCC_A,E_total_eV,E_per_atom_eV,BCC_formation_energy_eV_per_atom
Mo25-Ta75,/mnt/f/Ru-refractory/DFT/BCC-Runs-Mill/BCC-DFT-Runs/Mo25-Ta75/relax,16,278.283545,3.26436851,7.04618307,4.62506534,7.30085792,9.21262594,"108.4664,108.3797,90.0000",VECTORS_NOT_HIGHLY_CUBIC(dev=2.4211);NO_ENERGY; ,,,,
Mo25-V75,/mnt/f/Ru-refractory/DFT/BCC-Runs-Mill/BCC-DFT-Runs/Mo25-V75/relax,16,220.552215,3.02092873,6.52332525,4.28063449,6.75399017,8.53535110,"108.4754,108.5081,90.0000",VECTORS_NOT_HIGHLY_CUBIC(dev=2.2427);NO_ENERGY; ,,,,
Mo50-Ta50,/mnt/f/Ru-refractory/DFT/BCC-Runs-Mill/BCC-DFT-Runs/Mo50-Ta50/relax,16,267.535037,3.22178751,6.77756724,4.57201549,7.88034311,7.88034311,"90.0000,109.5609,90.0000",VECTORS_NOT_HIGHLY_CUBIC(dev=2.2056);NO_ENERGY; ,,,,
Mo50-V50,/mnt/f/Ru-refractory/DFT/BCC-Runs-Mill/BCC-DFT-Runs/Mo50-V50/relax,16,230.128549,3.06403346,6.36933429,4.34762886,6.14338137,8.61699264,"90.0000,90.8263,90.0000",VECTORS_NOT_HIGHLY_CUBIC(dev=2.2477);NO_ENERGY; ,,,,
Mo75-Ta25,/mnt/f/Ru-refractory/DFT/BCC-Runs-Mill/BCC-DFT-Runs/Mo75-Ta25/relax,16,258.678004,3.18583421,6.87970785,4.50357592,7.13023931,9.00530833,"108.4096,108.4412,90.0000",VECTORS_NOT_HIGHLY_CUBIC(dev=2.3761);NO_ENERGY; ,,,,
Mo75-V25,/mnt/f/Ru-refractory/DFT/BCC-Runs-Mill/BCC-DFT-Runs/Mo75-V25/relax,16,240.221132,3.10818653,6.71095901,4.39943633,6.95339871,8.78004200,"108.4424,108.4361,90.0000",VECTORS_NOT_HIGHLY_CUBIC(dev=2.3115);NO_ENERGY; ,,,,
Nb25-Mo75,/mnt/f/Ru-refractory/DFT/BCC-Runs-Mill/BCC-DFT-Runs/Nb25-Mo75/relax,16,259.955928,3.19107183,6.89169546,4.50788313,7.13635465,9.03084860,"108.4115,108.3960,90.0000",VECTORS_NOT_HIGHLY_CUBIC(dev=2.3838);NO_ENERGY; ,,,,
Nb25-Ta75,/mnt/f/Ru-refractory/DFT/BCC-Runs-Mill/BCC-DFT-Runs/Nb25-Ta75/relax,16,290.573888,3.31173466,7.15506476,4.67798864,7.39655057,9.39065506,"108.4349,108.4605,90.0000",VECTORS_NOT_HIGHLY_CUBIC(dev=2.4771);NO_ENERGY; ,,,,
Nb25-V75,/mnt/f/Ru-refractory/DFT/BCC-Runs-Mill/BCC-DFT-Runs/Nb25-V75/relax,16,233.054134,3.07696301,6.64597995,4.32903096,6.86573250,8.74317638,"108.3767,108.0792,90.0000",VECTORS_NOT_HIGHLY_CUBIC(dev=2.3169);NO_ENERGY; ,,,,
Nb50-Mo50,/mnt/f/Ru-refractory/DFT/BCC-Runs-Mill/BCC-DFT-Runs/Nb50-Mo50/relax,16,269.949985,3.23145248,6.79895348,4.57074494,7.91305775,7.91305775,"90.0000,109.4025,90.0000",VECTORS_NOT_HIGHLY_CUBIC(dev=2.2282);NO_ENERGY; ,,,,
Nb50-Ta50,/mnt/f/Ru-refractory/DFT/BCC-Runs-Mill/BCC-DFT-Runs/Nb50-Ta50/relax,16,291.943956,3.31693148,6.95388400,5.75616516,5.75616516,9.34932170,"109.5349,90.0004,90.0004",VECTORS_NOT_HIGHLY_CUBIC(dev=2.3954);NO_ENERGY; ,,,,
Nb50-V50,/mnt/f/Ru-refractory/DFT/BCC-Runs-Mill/BCC-DFT-Runs/Nb50-V50/relax,16,253.977825,3.16642062,6.66358243,4.45111596,7.73832551,7.80130583,"90.0000,109.0602,90.0000",VECTORS_NOT_HIGHLY_CUBIC(dev=2.2125);NO_ENERGY; ,,,,
Nb75-Mo25,/mnt/f/Ru-refractory/DFT/BCC-Runs-Mill/BCC-DFT-Runs/Nb75-Mo25/relax,16,281.066237,3.27521311,7.07446254,4.62007024,7.30834553,9.29497185,"108.4261,108.2499,90.0000",VECTORS_NOT_HIGHLY_CUBIC(dev=2.4544);NO_ENERGY; ,,,,
Nb75-Ta25,/mnt/f/Ru-refractory/DFT/BCC-Runs-Mill/BCC-DFT-Runs/Nb75-Ta25/relax,16,292.515585,3.31909493,7.16608153,4.69503798,7.41160894,9.39159768,"108.4656,108.2936,90.0000",VECTORS_NOT_HIGHLY_CUBIC(dev=2.4710);NO_ENERGY; ,,,,
Nb75-V25,/mnt/f/Ru-refractory/DFT/BCC-Runs-Mill/BCC-DFT-Runs/Nb75-V25/relax,16,274.161625,3.24817106,7.00596788,4.59600724,7.24534150,9.17655491,"108.4919,107.8975,90.0000",VECTORS_NOT_HIGHLY_CUBIC(dev=2.4100);NO_ENERGY; ,,,,
Ta25-V75,/mnt/f/Ru-refractory/DFT/BCC-Runs-Mill/BCC-DFT-Runs/Ta25-V75/relax,16,232.351989,3.07386981,6.63639131,4.33837898,6.86117553,8.70961943,"108.4305,108.1283,90.0000",VECTORS_NOT_HIGHLY_CUBIC(dev=2.2980);NO_ENERGY; ,,,,
Ta50-V50,/mnt/f/Ru-refractory/DFT/BCC-Runs-Mill/BCC-DFT-Runs/Ta50-V50/relax,16,252.203323,3.15902895,6.64944528,4.43520812,7.73063611,7.78249161,"90.0000,109.0639,90.0000",VECTORS_NOT_HIGHLY_CUBIC(dev=2.2142);NO_ENERGY; ,,,,
Ta75-V25,/mnt/f/Ru-refractory/DFT/BCC-Runs-Mill/BCC-DFT-Runs/Ta75-V25/relax,16,271.635518,3.23816412,6.98975330,4.58201642,7.23724388,9.14999962,"108.4549,108.2769,90.0000",VECTORS_NOT_HIGHLY_CUBIC(dev=2.4077);NO_ENERGY; ,,,,
