category,alloy_name,x_Al,x_Cr,x_Cu,x_Hf,x_Mo,x_Nb,x_Ru,x_Si,x_Ta,x_Ti,x_V,x_W,x_Zr,natoms,E_total_eV,E_per_atom_eV,E_form_per_atom_eV,volume_A3,volume_per_atom_A3,Ru_at_frac,vec_avg,radius_avg,vol_avg,delta_r,chi_avg,delta_chi,Hmix_kJmol
01_Baselines,BASE_001_Al,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-3.35659495,-3.35659495,0.0,14.895500000000004,14.895500000000004,0.0,3.0,1.43,16.6,0.0,1.61,0.0,0.0
01_Baselines,BASE_002_Cr,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-8.94261807,-8.94261807,0.0,14.895500000000004,14.895500000000004,0.0,6.0,1.28,12.3,0.0,1.66,0.0,0.0
01_Baselines,BASE_003_Cu,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-3.27883897,-3.27883897,0.0,14.895500000000004,14.895500000000004,0.0,11.0,1.28,11.8,0.0,1.9,0.0,0.0
01_Baselines,BASE_004_Hf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-8.5020101,-8.5020101,0.0,14.895500000000004,14.895500000000004,0.0,4.0,1.58,22.3,0.0,1.3,0.0,0.0
01_Baselines,BASE_005_Mo,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-10.877107,-10.877107,0.0,14.895500000000004,14.895500000000004,0.0,6.0,1.39,15.6,0.0,2.16,0.0,0.0
01_Baselines,BASE_006_Nb,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-9.48106087,-9.48106087,0.0,14.895500000000004,14.895500000000004,0.0,5.0,1.46,18.0,0.0,1.6,0.0,0.0
01_Baselines,BASE_007_Ru,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-8.62930151,-8.62930151,0.0,14.895500000000004,14.895500000000004,1.0,8.0,1.34,13.8,0.0,2.2,0.0,0.0
01_Baselines,BASE_008_Si,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-4.72159989,-4.72159989,0.0,14.895500000000004,14.895500000000004,0.0,4.0,1.17,20.0,0.0,1.9,0.0,0.0
01_Baselines,BASE_009_Ta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,-11.42007781,-11.42007781,0.0,14.895500000000004,14.895500000000004,0.0,5.0,1.46,18.0,0.0,1.5,0.0,0.0
01_Baselines,BASE_010_Ti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,-7.59495453,-7.59495453,0.0,14.895500000000004,14.895500000000004,0.0,4.0,1.47,17.7,0.0,1.54,0.0,0.0
