B2_Name,a_B2,a_BCC,Pred_Misfit,Pred_Energy,Misfit,B2_Ru,B2_Hf,B2_Ti,B2_Al,B2_Zr,B2_Mo,BCC_Mo,BCC_Ta,BCC_V,BCC_Nb
B2_TERN_SOL_083_Ru_Hf75_Ta25,3.216563145,3.23816412,-0.009978040929626569,-1.031572072333247,-0.006693071,0.5,0.375,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0
B2_TERN_SOL_083_Ru_Hf75_Ta25,3.216563145,3.19107183,0.005151640176044544,-1.031572072333247,0.007956544,0.5,0.375,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.25
B2_TERN_SOL_083_Ru_Hf75_Ta25,3.216563145,3.22178751,-0.0017376847779238952,-1.031572072333247,-0.001622889,0.5,0.375,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0
B2_TERN_SOL_083_Ru_Hf75_Ta25,3.216563145,3.23145248,-0.003331815797009347,-1.031572072333247,-0.004618269,0.5,0.375,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5
B2_TERN_SOL_083_Ru_Hf75_Ta25,3.216563145,3.18583421,0.005160717541393753,-1.031572072333247,0.009599196,0.5,0.375,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0
B2_PENALTY_122_Ru75Si25_Hf,3.248412429,3.27521311,-0.0058252779016666634,-1.0097945739701244,-0.008216499,0.375,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.75
B2_PENALTY_122_Ru75Si25_Hf,3.248412429,3.23816412,0.0023411581044999975,-1.0097945739701244,0.003159851,0.375,0.5,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0
B2_PENALTY_122_Ru75Si25_Hf,3.248412429,3.26436851,-0.004821692613357138,-1.0097945739701244,-0.004899929,0.375,0.5,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0
B2_PENALTY_122_Ru75Si25_Hf,3.248412429,3.24817106,-5.51455416666666e-05,-1.0097945739701244,7.43e-05,0.375,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75
B2_PENALTY_122_Ru75Si25_Hf,3.248412429,3.22178751,0.0069698071795000075,-1.0097945739701244,0.008230014,0.375,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0
B2_PENALTY_122_Ru75Si25_Hf,3.248412429,3.23145248,0.004782168870000007,-1.0097945739701244,0.005234661,0.375,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5
B2_TERN_SOL_079_Ru_Hf75_Nb25,3.221161604,3.23145248,-0.0028147372472432947,-0.9908841988318224,-0.003189677,0.5,0.375,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5
B2_TERN_SOL_079_Ru_Hf75_Nb25,3.221161604,3.23816412,-0.009309271448963326,-0.9908841988318224,-0.005264486,0.5,0.375,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0
B2_TERN_SOL_079_Ru_Hf75_Nb25,3.221161604,3.22178751,-0.001164074570151349,-0.9908841988318224,-0.000194292,0.5,0.375,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0
B2_TERN_SOL_079_Ru_Hf75_Nb25,3.221161604,3.18583421,0.006601468013070152,-0.9908841988318224,0.011027756,0.5,0.375,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0
B2_TERN_SOL_079_Ru_Hf75_Nb25,3.221161604,3.19107183,0.0064645354926614225,-0.9908841988318224,0.009385115,0.5,0.375,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.25
B2_TERN_SOL_093_Ru_Ti75_Ta25,3.098798357,3.07696301,0.0067841032027221556,-0.9581277760919968,0.007071305,0.5,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.75,0.25
B2_TERN_SOL_093_Ru_Ti75_Ta25,3.098798357,3.06403346,0.007901597759698892,-0.9581277760919968,0.011282118,0.5,0.0,0.375,0.0,0.0,0.0,0.5,0.0,0.5,0.0
B2_TERN_SOL_093_Ru_Ti75_Ta25,3.098798357,3.10818653,-0.007389722221938308,-0.9581277760919968,-0.003025035,0.5,0.0,0.375,0.0,0.0,0.0,0.75,0.0,0.25,0.0
B2_TERN_SOL_093_Ru_Ti75_Ta25,3.098798357,3.07386981,0.0071624649596799496,-0.9581277760919968,0.008077073,0.5,0.0,0.375,0.0,0.0,0.0,0.0,0.25,0.75,0.0
B2_PENALTY_110_Ru75Al25_Hf,3.264770933,3.23145248,0.008765791413333323,-0.9557422499999952,0.010257792,0.375,0.5,0.0,0.125,0.0,0.0,0.5,0.0,0.0,0.5
B2_PENALTY_110_Ru75Al25_Hf,3.264770933,3.23816412,0.005910161496428569,-0.9557422499999952,0.008183017,0.375,0.5,0.0,0.125,0.0,0.0,0.0,0.75,0.25,0.0
B2_PENALTY_110_Ru75Al25_Hf,3.264770933,3.27521311,-0.003739867916666665,-0.9557422499999952,-0.003193334,0.375,0.5,0.0,0.125,0.0,0.0,0.25,0.0,0.0,0.75
B2_PENALTY_110_Ru75Al25_Hf,3.264770933,3.26436851,-0.0015508865935714266,-0.9557422499999952,0.00012327,0.375,0.5,0.0,0.125,0.0,0.0,0.25,0.75,0.0,0.0
B2_PENALTY_110_Ru75Al25_Hf,3.264770933,3.24817106,0.0029488185570833297,-0.9557422499999952,0.005097504,0.375,0.5,0.0,0.125,0.0,0.0,0.0,0.0,0.25,0.75
B2_TERN_SOL_087_Ru_Hf75_V25,3.180813173,3.18583421,-0.001202504020254177,-0.9467614393620036,-0.001577294,0.5,0.375,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0
B2_TERN_SOL_087_Ru_Hf75_V25,3.180813173,3.16642062,0.00646488978937658,-0.9467614393620036,0.004535063,0.5,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
B2_TERN_SOL_087_Ru_Hf75_V25,3.180813173,3.19107183,-0.001513784098004177,-0.9467614393620036,-0.003219976,0.5,0.375,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.25
B2_TERN_SOL_087_Ru_Hf75_V25,3.180813173,3.15902895,0.007908966398281335,-0.9467614393620036,0.006872166,0.5,0.375,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
B2_TERN_SOL_087_Ru_Hf75_V25,3.180813173,3.22178751,-0.006006772952234265,-0.9467614393620036,-0.012799279,0.5,0.375,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0
B2_TERN_SOL_087_Ru_Hf75_V25,3.180813173,3.23145248,-0.007096868689418021,-0.9467614393620036,-0.015794513,0.5,0.375,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5
B2_MULTI_168_A_Ru75_Al25_B_TiAl,3.070901903,3.07386981,-0.0007262972099999987,-0.9413853389999953,-0.000965994,0.375,0.0,0.25,0.375,0.0,0.0,0.0,0.25,0.75,0.0
B2_MULTI_168_A_Ru75_Al25_B_TiAl,3.070901903,3.07696301,-0.001157598940000002,-0.9413853389999953,-0.001971776,0.375,0.0,0.25,0.375,0.0,0.0,0.0,0.0,0.75,0.25
B2_MULTI_168_A_Ru75_Al25_B_TiAl,3.070901903,3.06403346,0.003372019500000004,-0.9413853389999953,0.002239125,0.375,0.0,0.25,0.375,0.0,0.0,0.5,0.0,0.5,0.0
B2_PENALTY_139_Ru75Si25_Ti,3.0820502,3.10818653,-0.009294459430000008,-0.9361164499999955,-0.008444372,0.375,0.0,0.5,0.0,0.0,0.0,0.75,0.0,0.25,0.0
B2_PENALTY_139_Ru75Si25_Ti,3.0820502,3.07696301,-0.00023281321000000036,-0.9361164499999955,0.00165195,0.375,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.75,0.25
B2_PENALTY_139_Ru75Si25_Ti,3.0820502,3.06403346,0.0036538855850000024,-0.9361164499999955,0.005862836,0.375,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.0
B2_PENALTY_139_Ru75Si25_Ti,3.0820502,3.07386981,8.451302999999993e-05,-0.9361164499999955,0.002657731,0.375,0.0,0.5,0.0,0.0,0.0,0.0,0.25,0.75,0.0
B2_MULTI_164_A_Ru75_Al25_B_HfAl,3.160855152,3.18583421,-0.007727311442500011,-0.9328003089999964,-0.007871524,0.375,0.25,0.0,0.375,0.0,0.0,0.75,0.25,0.0,0.0
B2_MULTI_164_A_Ru75_Al25_B_HfAl,3.160855152,3.15902895,0.0026736583300000045,-0.9328003089999964,0.000577923,0.375,0.25,0.0,0.375,0.0,0.0,0.0,0.5,0.5,0.0
B2_MULTI_164_A_Ru75_Al25_B_HfAl,3.160855152,3.19107183,-0.00835493863750001,-0.9328003089999964,-0.009514177,0.375,0.25,0.0,0.375,0.0,0.0,0.75,0.0,0.0,0.25
B2_MULTI_164_A_Ru75_Al25_B_HfAl,3.160855152,3.16642062,0.00081328416,-0.9328003089999964,-0.001759199,0.375,0.25,0.0,0.375,0.0,0.0,0.0,0.0,0.5,0.5
B2_PENALTY_118_Ru75Cu25_Hf,3.236261822,3.22178751,0.004712349241428569,-0.9233898889999995,0.004482565,0.375,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0
B2_PENALTY_118_Ru75Cu25_Hf,3.236261822,3.23816412,0.0007569585764285687,-0.9233898889999995,-0.000587634,0.375,0.5,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0
B2_PENALTY_118_Ru75Cu25_Hf,3.236261822,3.27521311,-0.00993441240666665,-0.9233898889999995,-0.011963891,0.375,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.75
B2_PENALTY_118_Ru75Cu25_Hf,3.236261822,3.24817106,-0.0021312465529166684,-0.9233898889999995,-0.003673178,0.375,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75
B2_PENALTY_118_Ru75Cu25_Hf,3.236261822,3.23145248,0.002027901084999996,-0.9233898889999995,0.001487184,0.375,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5
B2_PENALTY_118_Ru75Cu25_Hf,3.236261822,3.26436851,-0.006998375533571416,-0.9233898889999995,-0.008647373,0.375,0.5,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0
B2_TERN_SOL_097_Ru_Ti75_V25,3.05499642,3.07696301,-0.0014140404560998173,-0.9053066410000018,-0.007164623,0.5,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.75,0.25
B2_TERN_SOL_097_Ru_Ti75_V25,3.05499642,3.07386981,0.00023752597325083196,-0.9053066410000018,-0.006158852,0.5,0.0,0.375,0.0,0.0,0.0,0.0,0.25,0.75,0.0
B2_TERN_SOL_097_Ru_Ti75_V25,3.05499642,3.02092873,0.009557254084887185,-0.9053066410000018,0.011213993,0.5,0.0,0.375,0.0,0.0,0.0,0.25,0.0,0.75,0.0
B2_TERN_SOL_097_Ru_Ti75_V25,3.05499642,3.06403346,0.0007762647174131697,-0.9053066410000018,-0.002953749,0.5,0.0,0.375,0.0,0.0,0.0,0.5,0.0,0.5,0.0
B2_TERN_SOL_089_Ru_Ti75_Nb25,3.102904429,3.10818653,-0.005272506684938314,-0.9031889439999955,-0.001700861,0.5,0.0,0.375,0.0,0.0,0.0,0.75,0.0,0.25,0.0
B2_TERN_SOL_089_Ru_Ti75_Nb25,3.102904429,3.07386981,0.008908351052521293,-0.9031889439999955,0.009401224,0.5,0.0,0.375,0.0,0.0,0.0,0.0,0.25,0.75,0.0
B2_TERN_SOL_089_Ru_Ti75_Nb25,3.102904429,3.07696301,0.008642077435313502,-0.9031889439999955,0.008395461,0.5,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.75,0.25
B2_MULTI_160_A_Ru75_Al25_B_HfTi,3.186447237,3.19107183,-0.0008841168349999994,-0.9000343030000024,-0.00145028,0.375,0.25,0.25,0.125,0.0,0.0,0.75,0.0,0.0,0.25
B2_MULTI_160_A_Ru75_Al25_B_HfTi,3.186447237,3.16642062,0.00932952967250001,-0.9000343030000024,0.006304748,0.375,0.25,0.25,0.125,0.0,0.0,0.0,0.0,0.5,0.5
B2_MULTI_160_A_Ru75_Al25_B_HfTi,3.186447237,3.18583421,-0.00028514770500000073,-0.9000343030000024,0.000192404,0.375,0.25,0.25,0.125,0.0,0.0,0.75,0.25,0.0,0.0
B2_PENALTY_127_Ru75Al25_Ti,3.09969531,3.10818653,-0.00649240607999999,-0.8881906299999975,-0.002735626,0.375,0.0,0.5,0.125,0.0,0.0,0.75,0.0,0.25,0.0
B2_PENALTY_127_Ru75Al25_Ti,3.09969531,3.06403346,0.008716204385000002,-0.8881906299999975,0.011571518,0.375,0.0,0.5,0.125,0.0,0.0,0.5,0.0,0.5,0.0
B2_PENALTY_127_Ru75Al25_Ti,3.09969531,3.07696301,0.0056543404300000025,-0.8881906299999975,0.007360712,0.375,0.0,0.5,0.125,0.0,0.0,0.0,0.0,0.75,0.25
B2_PENALTY_127_Ru75Al25_Ti,3.09969531,3.07386981,0.0069522788350000085,-0.8881906299999975,0.008366479,0.375,0.0,0.5,0.125,0.0,0.0,0.0,0.25,0.75,0.0
B2_MULTI_170_A_Ru75_Al25_B_ZrAl,3.180115415,3.19107183,-0.003098268855000002,-0.8854183384772708,-0.003439364,0.375,0.0,0.0,0.375,0.25,0.0,0.75,0.0,0.0,0.25
B2_MULTI_170_A_Ru75_Al25_B_ZrAl,3.180115415,3.18583421,-0.0023141829249999977,-0.8854183384772708,-0.001796682,0.375,0.0,0.0,0.375,0.25,0.0,0.75,0.25,0.0,0.0
B2_MULTI_170_A_Ru75_Al25_B_ZrAl,3.180115415,3.15902895,0.007480917505000014,-0.8854183384772708,0.00665278,0.375,0.0,0.0,0.375,0.25,0.0,0.0,0.5,0.5,0.0
B2_MULTI_170_A_Ru75_Al25_B_ZrAl,3.180115415,3.16642062,0.005558209864999993,-0.8854183384772708,0.004315675,0.375,0.0,0.0,0.375,0.25,0.0,0.0,0.0,0.5,0.5
B2_PENALTY_114_Ru75Cr25_Hf,3.225424668,3.23816412,-0.0034188435230000066,-0.878162691,-0.003941913,0.375,0.5,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0
