B2_Name,a_B2,a_BCC,Pred_Misfit,Pred_Energy,Misfit,B2_Ru,B2_Hf,B2_Ti,B2_Al,B2_Zr,B2_Mo,BCC_Mo,BCC_Ta,BCC_V,BCC_Nb
B2_PENALTY_125_Ru100Al0_Ti,4.881705796,3.31173466,0.019929679165178613,-1.0529304426513533,0.383226349,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.75,0.0,0.25
B2_015_RuTi,2.43976227,3.31173466,0.019929679165178613,-1.0529304426513533,-0.303215806,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.75,0.0,0.25
B2_TERN_SOL_083_Ru_Hf75_Ta25,3.216563145,3.16642062,0.01565243498854361,-1.031572072333247,0.015711312,0.5,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
B2_TERN_SOL_083_Ru_Hf75_Ta25,3.216563145,3.22178751,-0.0017376847779238952,-1.031572072333247,-0.001622889,0.5,0.375,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0
B2_TERN_SOL_083_Ru_Hf75_Ta25,3.216563145,3.24817106,-0.012922443700177701,-1.031572072333247,-0.009778566,0.5,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75
B2_TERN_SOL_083_Ru_Hf75_Ta25,3.216563145,3.23145248,-0.003331815797009347,-1.031572072333247,-0.004618269,0.5,0.375,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5
B2_TERN_SOL_083_Ru_Hf75_Ta25,3.216563145,3.15902895,0.016167875464924562,-1.031572072333247,0.018048267,0.5,0.375,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
B2_TERN_SOL_083_Ru_Hf75_Ta25,3.216563145,3.27521311,-0.01722037627823774,-1.031572072333247,-0.018069004,0.5,0.375,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.75
B2_TERN_SOL_083_Ru_Hf75_Ta25,3.216563145,3.18583421,0.005160717541393753,-1.031572072333247,0.009599196,0.5,0.375,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0
B2_TERN_SOL_083_Ru_Hf75_Ta25,3.216563145,3.23816412,-0.009978040929626569,-1.031572072333247,-0.006693071,0.5,0.375,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0
B2_TERN_SOL_083_Ru_Hf75_Ta25,3.216563145,3.26436851,-0.014902906935435258,-1.031572072333247,-0.014752621,0.5,0.375,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0
B2_TERN_SOL_083_Ru_Hf75_Ta25,3.216563145,3.19107183,0.005151640176044544,-1.031572072333247,0.007956544,0.5,0.375,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.25
B2_PENALTY_122_Ru75Si25_Hf,3.248412429,3.27521311,-0.0058252779016666634,-1.0097945739701244,-0.008216499,0.375,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.75
B2_PENALTY_122_Ru75Si25_Hf,3.248412429,3.23816412,0.0023411581044999975,-1.0097945739701244,0.003159851,0.375,0.5,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0
B2_PENALTY_122_Ru75Si25_Hf,3.248412429,3.23145248,0.004782168870000007,-1.0097945739701244,0.005234661,0.375,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5
B2_PENALTY_122_Ru75Si25_Hf,3.248412429,3.24817106,-5.51455416666666e-05,-1.0097945739701244,7.43e-05,0.375,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75
