B2_Name,a_B2,a_BCC,Pred_Misfit,Pred_Energy,Misfit,B2_Ru,B2_Hf,B2_Ti,B2_Al,B2_Zr,B2_Mo,BCC_Mo,BCC_Ta,BCC_V,BCC_Nb
B2_MULTI_162_A_Ru75_Al25_B_HfZr,3.283818469,3.26436851,0.005421340397500006,-0.8758682595082984,0.005940563,0.375,0.25,0.0,0.125,0.25,0.0,0.25,0.75,0.0,0.0
B2_MULTI_166_A_Ru75_Al25_B_TiZr,3.206361714,3.26436851,-0.017670291657857197,-0.808063227,-0.01792898,0.375,0.0,0.25,0.125,0.25,0.0,0.25,0.75,0.0,0.0
B2_TERN_SOL_089_Ru_Ti75_Nb25,3.102904429,3.02092873,0.019572585141310456,-0.9031889439999955,0.026772676,0.5,0.0,0.375,0.0,0.0,0.0,0.25,0.0,0.75,0.0
B2_TERN_SOL_091_Ru_Ti75_Mo25,3.083886002,3.02092873,0.012756165169674887,-0.7628383109999981,0.020625449,0.5,0.0,0.375,0.0,0.0,0.125,0.25,0.0,0.75,0.0
B2_TERN_SOL_093_Ru_Ti75_Ta25,3.098798357,3.02092873,0.015547636688302412,-0.9581277760919968,0.025448725,0.5,0.0,0.375,0.0,0.0,0.0,0.25,0.0,0.75,0.0
B2_TERN_SOL_095_Ru_Ti75_W25,3.082186007,3.02092873,0.015113432499852898,-0.7896133579999975,0.020074103,0.5,0.0,0.375,0.0,0.0,0.0,0.25,0.0,0.75,0.0
B2_TERN_SOL_097_Ru_Ti75_V25,3.05499642,3.02092873,0.009557254084887185,-0.9053066410000018,0.011213993,0.5,0.0,0.375,0.0,0.0,0.0,0.25,0.0,0.75,0.0
B2_PENALTY_131_Ru75Cr25_Ti,3.061448806,3.02092873,0.014345520800000035,-0.8096196399999966,0.013323762,0.375,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.75,0.0
B2_PENALTY_135_Ru75Cu25_Ti,3.074675013,3.02092873,0.01519765638500002,-0.8017171889999983,0.017634441,0.375,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.75,0.0
B2_PENALTY_139_Ru75Si25_Ti,3.0820502,3.02092873,0.017266590879999984,-0.9361164499999955,0.020030045,0.375,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.75,0.0
B2_MULTI_168_A_Ru75_Al25_B_TiAl,3.070901903,3.02092873,0.01620939487500004,-0.9413853389999953,0.016406619,0.375,0.0,0.25,0.375,0.0,0.0,0.25,0.0,0.75,0.0
B2_MULTI_160_A_Ru75_Al25_B_HfTi,3.186447237,3.22178751,-0.010081713214999979,-0.9000343030000024,-0.011029644,0.375,0.25,0.25,0.125,0.0,0.0,0.5,0.5,0.0,0.0
B2_MULTI_162_A_Ru75_Al25_B_HfZr,3.283818469,3.22178751,0.017171492934999984,-0.8758682595082984,0.019070002,0.375,0.25,0.0,0.125,0.25,0.0,0.5,0.5,0.0,0.0
B2_MULTI_164_A_Ru75_Al25_B_HfAl,3.160855152,3.22178751,-0.019290408374999995,-0.9328003089999964,-0.019093144,0.375,0.25,0.0,0.375,0.0,0.0,0.5,0.5,0.0,0.0
B2_MULTI_166_A_Ru75_Al25_B_TiZr,3.206361714,3.22178751,-0.005255661194999992,-0.808063227,-0.004799452,0.375,0.0,0.25,0.125,0.25,0.0,0.5,0.5,0.0,0.0
B2_MULTI_170_A_Ru75_Al25_B_ZrAl,3.180115415,3.22178751,-0.016472651255000012,-0.8854183384772708,-0.013018659,0.375,0.0,0.0,0.375,0.25,0.0,0.5,0.5,0.0,0.0
B2_TERN_SOL_089_Ru_Ti75_Nb25,3.102904429,3.06403346,0.01012579119234435,-0.9031889439999955,0.012606246,0.5,0.0,0.375,0.0,0.0,0.0,0.5,0.0,0.5,0.0
B2_TERN_SOL_091_Ru_Ti75_Mo25,3.083886002,3.06403346,0.0029247565893159456,-0.7628383109999981,0.006458296,0.5,0.0,0.375,0.0,0.0,0.125,0.5,0.0,0.5,0.0
B2_TERN_SOL_093_Ru_Ti75_Ta25,3.098798357,3.06403346,0.007901597759698892,-0.9581277760919968,0.011282118,0.5,0.0,0.375,0.0,0.0,0.0,0.5,0.0,0.5,0.0
B2_TERN_SOL_095_Ru_Ti75_W25,3.082186007,3.06403346,0.006866117513539446,-0.7896133579999975,0.005906898,0.5,0.0,0.375,0.0,0.0,0.0,0.5,0.0,0.5,0.0
B2_TERN_SOL_097_Ru_Ti75_V25,3.05499642,3.06403346,0.0007762647174131697,-0.9053066410000018,-0.002953749,0.5,0.0,0.375,0.0,0.0,0.0,0.5,0.0,0.5,0.0
B2_PENALTY_127_Ru75Al25_Ti,3.09969531,3.06403346,0.008716204385000002,-0.8881906299999975,0.011571518,0.375,0.0,0.5,0.125,0.0,0.0,0.5,0.0,0.5,0.0
B2_PENALTY_131_Ru75Cr25_Ti,3.061448806,3.06403346,0.0016470052899999988,-0.8096196399999966,-0.000843902,0.375,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.0
B2_PENALTY_135_Ru75Cu25_Ti,3.074675013,3.06403346,0.0019838910900000016,-0.8017171889999983,0.003467033,0.375,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.0
B2_PENALTY_139_Ru75Si25_Ti,3.0820502,3.06403346,0.0036538855850000024,-0.9361164499999955,0.005862836,0.375,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.0
B2_MULTI_168_A_Ru75_Al25_B_TiAl,3.070901903,3.06403346,0.003372019500000004,-0.9413853389999953,0.002239125,0.375,0.0,0.25,0.375,0.0,0.0,0.5,0.0,0.5,0.0
B2_MULTI_160_A_Ru75_Al25_B_HfTi,3.186447237,3.18583421,-0.00028514770500000073,-0.9000343030000024,0.000192404,0.375,0.25,0.25,0.125,0.0,0.0,0.75,0.25,0.0,0.0
B2_MULTI_164_A_Ru75_Al25_B_HfAl,3.160855152,3.18583421,-0.007727311442500011,-0.9328003089999964,-0.007871524,0.375,0.25,0.0,0.375,0.0,0.0,0.75,0.25,0.0,0.0
B2_MULTI_166_A_Ru75_Al25_B_TiZr,3.206361714,3.18583421,0.0061111006949999954,-0.808063227,0.006422677,0.375,0.0,0.25,0.125,0.25,0.0,0.75,0.25,0.0,0.0
B2_MULTI_170_A_Ru75_Al25_B_ZrAl,3.180115415,3.18583421,-0.0023141829249999977,-0.8854183384772708,-0.001796682,0.375,0.0,0.0,0.375,0.25,0.0,0.75,0.25,0.0,0.0
